Locality,Quarter,Price Range,Average Price,Q-o-Q,Growth Type,City,Type
Ashram Road Area,Jul-Sep 2020,"4,810 - 6,910","5,350",1.20%,,,
Ashram Road Area,Apr-Jun 2020,"4,750 - 6,860","5,290",0.50%,,,
Ashram Road Area,Jan-Mar 2020,"4,720 - 6,840","5,265",1%,,,
Ashram Road Area,Oct-Dec 2019,"4,680 - 6,800","5,215",0.70%,,,
Ashram Road Area,Jul-Sep 2019,"4,640 - 6,760","5,180",1%,,,
Ashram Road Area,Apr-Jun 2019,"4,580 - 6,720","5,130",1.30%,,,
Ashram Road Area,Jan-Mar 2019,"4,520 - 6,670","5,065",2%,,,
Ashram Road Area,Oct-Dec 2018,"4,430 - 6,590","4,965",3%,,,
Ashram Road Area,Jul-Sep 2018,"4,330 - 6,470","4,820",2.50%,,,
Ashram Road Area,Apr-Jun 2018,"4,290 - 6,410","4,720",2.80%,,,
Ashram Road Area,Jan-Mar 2018,"4,230 - 6,350","4,590",1.90%,,,
Ashram Road Area,Oct-Dec 2017,"4,200 - 6,320","4,505",2%,,,
Ashram Road Area,Jul-Sep 2017,"4,180 - 6,250","4,415",1.30%,,,
Ashram Road Area,Apr-Jun 2017,"4,150 - 6,200","4,360",1.80%,,,
Ashram Road Area,Jan-Mar 2017,"4,120 - 6,150","4,280",2%,,,
Ashram Road Area,Oct-Dec 2016,"4,050 - 6,090","4,200",1.50%,,,
Ashram Road Area,Jul-Sep 2016,"4,020 - 6,050","4,140",1.80%,,,
Ashram Road Area,Apr-Jun 2016,"3,980 - 6,000","4,080",1.50%,,,
Ashram Road Area,Jan-Mar 2016,"3,950 - 5,950","4,020",2%,,,
Ashram Road Area,Oct-Dec 2015,"3,880 - 5,900","3,940",1.70%,,,
Ashram Road Area,Jul-Sep 2015,"3,850 - 5,870","3,875",2%,,,
Ashram Road Area,Apr-Jun 2015,"3,800 - 5,810","3,800",2.30%,,,
Ashram Road Area,Jan-Mar 2015,"3,720 - 5,740","3,715",1.80%,,,
Ashram Road Area,Oct-Dec 2014,"3,650 - 5,670","3,650",2%,,,
,,,,,,,
Boakdev,Oct-Dec 2024,"7,255-10,160","8,707",0.50%,,,
Boakdev,Jul-Sep 2024,"7,158-10,176","8,667",2%,,,
Boakdev,Apr-Jun 2024,"6,941-10,076","8,508",4%,,,
