Locality,Quarter,Price Range,Average Price,Q-o-Q,Growth Type,City,Type
Usmanpura,Apr-Jun 2017,"2,850 - 5,500","4,250",3%,,,
Usmanpura,Jan-Mar 2017,"2,800 - 5,450","4,200",2%,,,
Usmanpura,Oct-Dec 2016,"2,750 - 5,400","4,150",0.50%,,,
Usmanpura,Jul-Sep 2016,"2,720 - 5,370","4,100",0.50%,,,
Usmanpura,Apr-Jun 2016,"2,680 - 5,320","4,050",2%,,,
Usmanpura,Jan-Mar 2016,"2,620 - 5,250","3,980",3%,,,
Usmanpura,Oct-Dec 2015,"2,550 - 5,200","3,900",1%,,,
Usmanpura,Jul-Sep 2015,"2,500 - 5,150","3,850",3%,,,
Usmanpura,Apr-Jun 2015,"2,450 - 5,100","3,800",5%,,,
Usmanpura,Jan-Mar 2015,"2,400 - 5,050","3,750",3%,,,
Usmanpura,Oct-Dec 2014,"2,350 - 5,000","3,650",2%,,,
,,,,,,,
Vaishnodevi Circle,Oct-Dec 2024,"5,357 - 7,852","6,605",3%,,,
Vaishnodevi Circle,Jul-Sep 2024,"5,432 - 7,390","6,411",0.20%,,,
Vaishnodevi Circle,Apr-Jun 2024,"5,441 - 7,404","6,422",2%,,,
Vaishnodevi Circle,Jan-Mar 2024,"5,332 - 7,323","6,327",6%,,,
Vaishnodevi Circle,Oct-Dec 2023,"4,902 - 6,987","5,945",3%,,,
Vaishnodevi Circle,Jul-Sep 2023,"4,701 - 6,788","5,744",10%,,,
Vaishnodevi Circle,Apr-Jun 2023,"4,311 - 6,104","5,207",5%,,,
Vaishnodevi Circle,Jan-Mar 2023,"4,383 - 6,546","5,465",5%,,,
Vaishnodevi Circle,Oct-Dec 2022,"4,250 - 6,400","5,325",3%,,,
Vaishnodevi Circle,Jul-Sep 2022,"4,374 - 6,494","5,434",3%,,,
Vaishnodevi Circle,Apr-Jun 2022,"4,250 - 6,350","5,300",3%,,,
Vaishnodevi Circle,Jan-Mar 2022,"4,120 - 6,210","5,165",2%,,,
Vaishnodevi Circle,Oct-Dec 2021,"4,000 - 6,050","5,025",3%,,,
Vaishnodevi Circle,Jul-Sep 2021,"3,900 - 5,900","4,900",2%,,,
Vaishnodevi Circle,Apr-Jun 2021,"3,820 - 5,800","4,810",1%,,,
Vaishnodevi Circle,Jan-Mar 2021,"3,800 - 5,750","4,775",1%,,,
Vaishnodevi Circle,Oct-Dec 2020,"3,750 - 5,700","4,725",2%,,,
Vaishnodevi Circle,Jul-Sep 2020,"3,650 - 5,600","4,625",1%,,,
Vaishnodevi Circle,Apr-Jun 2020,"3,600 - 5,550","4,575",2%,,,
Vaishnodevi Circle,Jan-Mar 2020,"3,580 - 5,500","4,540",1%,,,
Vaishnodevi Circle,Oct-Dec 2019,"4,264 - 5,634","4,949",2%,,,
Vaishnodevi Circle,Jul-Sep 2019,"3,500 - 5,400","4,450",2%,,,
Vaishnodevi Circle,Apr-Jun 2019,"3,400 - 5,300","4,350",2%,,,
Vaishnodevi Circle,Jan-Mar 2019,"3,300 - 5,200","4,250",1%,,,
Vaishnodevi Circle,Oct-Dec 2018,"3,200 - 5,100","4,150",1%,,,
Vaishnodevi Circle,Jul-Sep 2018,"3,150 - 5,050","4,100",1%,,,
Vaishnodevi Circle,Apr-Jun 2018,"3,100 - 5,000","4,050",1%,,,
Vaishnodevi Circle,Jan-Mar 2018,"3,050 - 4,950","4,000",1%,,,
Vaishnodevi Circle,Oct-Dec 2017,"3,000 - 4,900","3,950",2%,,,
Vaishnodevi Circle,Jul-Sep 2017,"2,950 - 4,850","3,900",1%,,,
Vaishnodevi Circle,Apr-Jun 2017,"2,900 - 4,800","3,850",1%,,,
Vaishnodevi Circle,Jan-Mar 2017,"2,850 - 4,750","3,800",1%,,,
Vaishnodevi Circle,Oct-Dec 2016,"2,800 - 4,700","3,750",1%,,,
Vaishnodevi Circle,Jul-Sep 2016,"2,750 - 4,650","3,700",1%,,,
Vaishnodevi Circle,Apr-Jun 2016,"2,700 - 4,600","3,650",1%,,,
Vaishnodevi Circle,Jan-Mar 2016,"2,650 - 4,550","3,600",1%,,,
Vaishnodevi Circle,Oct-Dec 2015,"2,600 - 4,500","3,550",1%,,,
Vaishnodevi Circle,Jul-Sep 2015,"2,550 - 4,450","3,500",1%,,,
Vaishnodevi Circle,Apr-Jun 2015,"2,500 - 4,400","3,450",1%,,,
Vaishnodevi Circle,Jan-Mar 2015,"2,450 - 4,350","3,400",1%,,,
Vaishnodevi Circle,Oct-Dec 2014,"2,400 - 4,300","3,350",1%,,,
,,,,,,,
Vastrapur,Oct-Dec 2024,"7,175-10,825","9,000",8%,,,
Vastrapur,Jul-Sep 2024,"6,701-10,040","8,370",3%,,,
Vastrapur,Apr-Jun 2024,"6,633-9,683","8,158",1%,,,
Vastrapur,Jan-Mar 2024,"6,660-9,866","8,263",2%,,,
Vastrapur,Oct-Dec 2023,"6,463-9,719","8,091",4%,,,
Vastrapur,Jul-Sep 2023,"6,343-9,264","7,803",2%,,,
Vastrapur,Apr-Jun 2023,"6,237-9,104","7,670",5%,,,
Vastrapur,Jan-Mar 2023,"5,935-8,716","7,325",2%,,,
Vastrapur,Oct-Dec 2022,"5,865-8,429","7,147",2%,,,
Vastrapur,Jul-Sep 2022,"5,818-8,140","6,979",1%,,,
Vastrapur,Apr-Jun 2022,"5,877-7,897","6,887",3%,,,
Vastrapur,Jan-Mar 2022,"5,829-7,564","6,696",2%,,,
Vastrapur,Oct-Dec 2021,"5,715-7,885","6,800",2%,,,
Vastrapur,Jul-Sep 2021,"5,700-8,111","6,906",4%,,,
Vastrapur,Apr-Jun 2021,"5,566-7,727","6,647",1%,,,
Vastrapur,Jan-Mar 2021,"5,533-7,829","6,681",4%,,,
Vastrapur,Oct-Dec 2020,"5,465-7,337","6,401",1%,,,
Vastrapur,Jul-Sep 2020,"5,501-7,228","6,365",2%,,,
Vastrapur,Apr-Jun 2020,"5,681-7,298","6,490",1%,,,
Vastrapur,Jan-Mar 2020,"5,760-7,406","6,583",1%,,,
Vastrapur,Oct-Dec 2019,"5,753-7,589","6,671",0.20%,,,
Vastrapur,Jul-Sep 2019,"5,765-7,551","6,658",0.30%,,,
Vastrapur,Apr-Jun 2019,"5,654-7,615","6,635",1%,,,
Vastrapur,Jan-Mar 2019,"5,580-7,514","6,547",3%,,,
Vastrapur,Oct-Dec 2018,"5,398-7,290","6,344",1%,,,
Vastrapur,Jul-Sep 2018,"5,335-7,217","6,276",4%,,,
Vastrapur,Apr-Jun 2018,"5,837-7,276","6,556",0.20%,,,
Vastrapur,Jan-Mar 2018,"5,817-7,328","6,572",1%,,,
Vastrapur,Oct-Dec 2017,"5,648-7,308","6,478",2%,,,
Vastrapur,Jul-Sep 2017,"5,488-7,227","6,358",3%,,,
Vastrapur,Apr-Jun 2017,"5,306-7,050","6,178",2%,,,
Vastrapur,Jan-Mar 2017,"5,170-6,912","6,041",1%,,,
Vastrapur,Oct-Dec 2016,"5,123-7,045","6,084",3%,,,
Vastrapur,Jul-Sep 2016,"5,262-7,286","6,274",3%,,,
Vastrapur,Apr-Jun 2016,"5,530-7,398","6,464",3%,,,
Vastrapur,Jan-Mar 2016,"5,189-7,346","6,267",1%,,,
Vastrapur,Oct-Dec 2015,"5,243-7,408","6,326",2%,,,
Vastrapur,Jul-Sep 2015,"5,296-7,676","6,486",4%,,,
Vastrapur,Apr-Jun 2015,"5,730-7,731","6,730",1%,,,
Vastrapur,Jan-Mar 2015,"5,885-7,472","6,679",2%,,,
Vastrapur,Oct-Dec 2014,"5,768-7,266","6,517",0.30%,,,
,,,,,,,
Vijay Cross Road,Oct-Dec 2024,"5,766 - 9,005","7,385",3%,,,
Vijay Cross Road,Jul-Sep 2024,"5,717 - 8,669","7,193",0.50%,,,
Vijay Cross Road,Apr-Jun 2024,"5,699 - 8,754","7,226",2%,,,
Vijay Cross Road,Jan-Mar 2024,"5,588 - 8,570","7,079",3%,,,
Vijay Cross Road,Oct-Dec 2023,"5,426 - 8,360","6,893",4%,,,
Vijay Cross Road,Jul-Sep 2023,"5,220 - 8,000","6,610",5%,,,
Vijay Cross Road,Apr-Jun 2023,"4,970 - 7,700","6,335",5%,,,
Vijay Cross Road,Jan-Mar 2023,"4,730 - 7,400","6,065",5%,,,
Vijay Cross Road,Oct-Dec 2022,"4,500 - 7,000","5,750",5%,,,
Vijay Cross Road,Jul-Sep 2022,"4,300 - 6,800","5,550",5%,,,
Vijay Cross Road,Apr-Jun 2022,"4,100 - 6,600","5,350",5%,,,
Vijay Cross Road,Jan-Mar 2022,"3,900 - 6,400","5,150",5%,,,
Vijay Cross Road,Oct-Dec 2021,"3,700 - 6,200","4,950",5%,,,
Vijay Cross Road,Jul-Sep 2021,"3,500 - 6,000","4,750",5%,,,
Vijay Cross Road,Apr-Jun 2021,"3,400 - 5,850","4,625",3%,,,
Vijay Cross Road,Jan-Mar 2021,"3,300 - 5,700","4,500",3%,,,
Vijay Cross Road,Oct-Dec 2020,"3,200 - 5,600","4,400",2%,,,
Vijay Cross Road,Jul-Sep 2020,"3,150 - 5,500","4,325",2%,,,
Vijay Cross Road,Apr-Jun 2020,"3,100 - 5,450","4,275",2%,,,
Vijay Cross Road,Jan-Mar 2020,"3,050 - 5,400","4,225",1%,,,
Vijay Cross Road,Oct-Dec 2019,"3,000 - 5,300","4,150",1%,,,
Vijay Cross Road,Jul-Sep 2019,"2,950 - 5,250","4,100",1%,,,
Vijay Cross Road,Apr-Jun 2019,"2,900 - 5,200","4,050",1%,,,
Vijay Cross Road,Jan-Mar 2019,"2,850 - 5,150","4,000",1%,,,
Vijay Cross Road,Oct-Dec 2018,"2,800 - 5,100","3,950",1%,,,
Vijay Cross Road,Jul-Sep 2018,"2,750 - 5,050","3,900",1%,,,
Vijay Cross Road,Apr-Jun 2018,"2,700 - 5,000","3,850",1%,,,
Vijay Cross Road,Jan-Mar 2018,"2,650 - 4,950","3,800",1%,,,
Vijay Cross Road,Oct-Dec 2017,"2,600 - 4,900","3,750",1%,,,
Vijay Cross Road,Jul-Sep 2017,"2,550 - 4,850","3,700",1%,,,
Vijay Cross Road,Apr-Jun 2017,"2,500 - 4,800","3,650",1%,,,
Vijay Cross Road,Jan-Mar 2017,"2,450 - 4,750","3,600",1%,,,
Vijay Cross Road,Oct-Dec 2016,"2,400 - 4,700","3,550",1%,,,
Vijay Cross Road,Jul-Sep 2016,"2,350 - 4,650","3,500",1%,,,
Vijay Cross Road,Apr-Jun 2016,"2,300 - 4,600","3,450",1%,,,
Vijay Cross Road,Jan-Mar 2016,"2,250 - 4,550","3,400",1%,,,
Vijay Cross Road,Oct-Dec 2015,"2,200 - 4,500","3,350",1%,,,
Vijay Cross Road,Jul-Sep 2015,"2,150 - 4,450","3,300",1%,,,
Vijay Cross Road,Apr-Jun 2015,"2,100 - 4,400","3,250",1%,,,
Vijay Cross Road,Jan-Mar 2015,"2,050 - 4,350","3,200",1%,,,
Vijay Cross Road,Oct-Dec 2014,"2,000 - 4,300","3,150",1%,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
