location,year,quarter,avg_price,max_price,min_price
Airport Road,2027,Jul-Sep,3617.250000000005,4815.077669372935,2419.3864288266504
Airport Road,2027,Oct-Dec,3559.0500000000034,4737.605136272509,2380.459539571632
Airport Road,2028,Jan-Mar,3439.200000000004,4578.067626099217,2300.2982392758627
Airport Road,2028,Apr-Jun,3463.6500000000024,4610.614076860475,2316.651545844335
Airport Road,2028,Jul-Sep,3406.969999999996,4535.164881394282,2278.7413038688264
Airport Road,2028,Oct-Dec,3412.3499999999976,4542.326431704942,2282.339700160786
Airport Road,2029,Jan-Mar,3488.2400000000025,4643.346887666994,2333.0984909780273
Airport Road,2029,Apr-Jun,3533.9700000000025,4704.220065307584,2363.684859459676
Airport Road,2029,Jul-Sep,3572.170000000002,4755.069734799613,2389.2348108263704
Airport Road,2029,Oct-Dec,3571.020000000004,4753.538920142133,2388.4656368977935
Airport Road,2030,Jan-Mar,3968.5700000000006,5282.7348915179555,2654.3657197729126
Airport Road,2030,Apr-Jun,4035.569999999998,5371.921484606067,2699.1784616987898
Airport Road,2030,Jul-Sep,4313.4133333333275,5741.770742997788,2885.013112333005
Airport Road,2030,Oct-Dec,4271.856166666666,5686.452203991899,2857.217730467276
Ambawadi,2024,Jan-Mar,6858.2500000000055,8055.926686736067,5660.412799066163
Ambawadi,2024,Apr-Jun,6920.340000000002,8128.859648931876,5711.658383682355
Ambawadi,2024,Jul-Sep,6974.75,8192.771429783448,5756.565329389668
Ambawadi,2024,Oct-Dec,6969.872499999999,8187.0421573867625,5752.539715942002
Ambawadi,2025,Jan-Mar,6806.899999999998,7995.609282826329,5618.031404799099
Ambawadi,2025,Apr-Jun,6864.969999999992,8063.820220412261,5665.959108111421
Ambawadi,2025,Jul-Sep,6337.600000000004,7444.354021777929,5230.697649598907
Ambawadi,2025,Oct-Dec,6415.732499999997,7536.131033676205,5295.1838090452675
Ambawadi,2026,Jan-Mar,6674.419999999999,7839.993904638192,5508.689883620915
Ambawadi,2026,Apr-Jun,6719.479999999997,7892.922867056347,5545.879866594109
Ambawadi,2026,Jul-Sep,6378.420000000004,7492.302540328954,5264.388175674492
Ambawadi,2026,Oct-Dec,6383.319999999997,7498.058241967849,5268.432359353329
Ambawadi,2027,Jan-Mar,6416.74,7537.314476411146,5296.015342730256
